print;role_id;character_name;contact_address;contact_name;display_type;price;text
0;0;;{quot}Coleman Inc{quot}, West Bouleward, Denver, CO;Victoria Bayley;rescueequipment;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Дорогой друг! <br> В ближайшие дни у меня намечаются научно-исследовательские работы. Для меня будет большим подспорьем, если вы вышлете мне <b>комплект спасательного снаряжения</b> на случай форс-мажорных обстоятельств
0;0;;{quot}Coleman Inc{quot}, West Bouleward, Denver, CO;Noah Tucson;rescueequipment;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Дорогой друг! <br> В ближайшие дни у меня намечаются научно-исследовательские работы. Для меня будет большим подспорьем, если вы вышлете мне <b>комплект спасательного снаряжения</b> на случай форс-мажорных обстоятельств
0;0;;{quot}Providence Chemical Industries{quot}, Warwick, RI;Jeremiah Fox;dynamite;Понимая все тонкости данной услуги, в знак глубокого уважения отправляю вам <b>Раритет</b>. Полагаю, он достойно пополнит вашу коллекцию.;Доброго дня, уважаемый!<br/>Если ваше предложение достать <b>динамит</b> еще в силе, я готов сделать заказ
0;0;;{quot}Hartford Chemical Research{quot}, East Hartford, CT;Olivia Geesbourne;dynamite;Понимая все тонкости данной услуги, в знак глубокого уважения отправляю вам <b>Раритет</b>. Полагаю, он достойно пополнит вашу коллекцию.;Доброго дня, уважаемая!<br/>Если ваше предложение достать <b>динамит</b> еще в силе, я готов сделать заказ
0;0;;{quot}Hanover Mountwalkers{quot}, Norwich, NH;Christofer Daniels;dynamite;Понимая все тонкости данной услуги, в знак глубокого уважения отправляю вам <b>Раритет</b>. Полагаю, он достойно пополнит вашу коллекцию.;Доброго дня, уважаемый!<br/>Если ваше предложение достать <b>динамит</b> еще в силе, я готов сделать заказ
0;0;;{quot}Hanover Mountwalkers{quot}, Norwich, NH;Charles Dunwick;dynamite;Понимая все тонкости данной услуги, в знак глубокого уважения отправляю вам <b>Раритет</b>. Полагаю, он достойно пополнит вашу коллекцию.;Доброго дня, уважаемый!<br/>Если ваше предложение достать <b>динамит</b> еще в силе, я готов сделать заказ
0;0;;Rockefeller University, Manhattan, NY;prof. John Howard Northrop;heroin;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}диацетилморфин <b>(Героин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;Rockefeller University, Manhattan, NY;prof. John Howard Northrop;heroin;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}диацетилморфин <b>(Героин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;University of Minnesota, Medical School, Minneapolis, MN;prof. Jesse McClendon;heroin;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}диацетилморфин <b>(Героин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;Cornell University, Itaka, NY;prof. James Sumner;heroin;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}диацетилморфин <b>(Героин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;Graduate School of the Mayo Foundation, Rochester, MN;prof. Edward Kendall;novocaine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорид бета-диметиламиноэтилового эфира п-аминобензойной кислоты <b>(новокаин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;Graduate School of the Mayo Foundation, Rochester, MN;prof. Edward Kendall;novocaine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорид бета-диметиламиноэтилового эфира п-аминобензойной кислоты <b>(новокаин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;State University of New York, State-wide, NY;prof. Gerty Theresa Cori;novocaine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогая коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорид бета-диметиламиноэтилового эфира п-аминобензойной кислоты <b>(новокаин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;State University of New York, State-wide, NY;prof. Carl Ferdinand Cori;novocaine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорид бета-диметиламиноэтилового эфира п-аминобензойной кислоты <b>(новокаин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;Rutgers University, Newarc, NJ;prof. Selman Waksman;ephedrine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорида эфедрина <b>(эфедрин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;Rutgers University, Newarc, NJ;prof. Selman Waksman;ephedrine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорида эфедрина <b>(эфедрин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;University of Michigan, Ann Arbor, MI;prof. John Jacob Abel;ephedrine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорида эфедрина <b>(эфедрин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;St. Louis University School of Medicine, MO;prof. Edward Doisy;ephedrine;Принимая во внимание все хлопоты, которые может вызвать у вас выполнение моей просьбы, хочу оказать вам ответную услугу и  высылаю <b>Раритет</b>, который, я убежден, отлично пополнит вашу впечатляющую коллекцию!;Дорогой коллега! <br>Вы упоминали ранее, что имеете доступ к самому передовому оборудованию и материалам последних исследований в области химии и фармацевтики! В этой связи я хотел бы просить вас выслать мне образец нового лекарства {quot}гидрохлорида эфедрина <b>(эфедрин)</b>{quot}, разумеется исключительно в исследовательских целях!
0;0;;Massachusetts General Hospital * Boston;Renee Cass, MD;carbolic;Заказанные лекарства оплачиваю по установленному тарифу <b>300$ за бутылку</b>;Уважаемая коллега! <br>В настоящее время я занимаю должность заместителя главного врача городской больницы города Салем. В этой связи я хочу оформить заказ особых лекарств для нашей больницы. Нам требуется <b>карболовая кислота</b>.
0;0;;Munchen, Oberbayern, Germany;Poste restante;;Со своей стороны прошу Вас:<br/><span class={quot}hint{quot}>вычеркнуть лишнее и оставить один вариант</span><br/>прислать денег для поддержки моей дальнейшей работы<br/>прислать лучшего пива чтобы отметить нашу победу<br/>сделать все возможное для победы нашего дела<br/>{3mm}{3mm}{3mm}{3mm}{3mm}{2mm}<span class={quot}hint{quot}>при отправке телеграммы — вытащи из мешка ТРИ Камня и напиши прямо на бланке телеграммы число вытащенных Синих</span>;Gutten Tag<br/>Полагаю, нашу организацию заинтересует этот предмет: Раритет Артефакт<br/><span class={quot}hint{quot}>вычеркнуть лишнее</span>
0;0;;Citta del Vaticano, Vatican, Italy;Poste restante;;Со своей стороны осмелюсь просить Вас:<br/><span class={quot}hint{quot}>вычеркнуть лишнее и оставить один вариант</span><br/>прислать денег для продолжения моей дальнейшей работы<br/>прислать бутылочку лучшего вина из погребов престола<br/>молиться за здоровье моего друга _______________________<br/>молиться за упокой души почившего ______________________<br/>{3mm}{3mm}{3mm}{2mm}<span class={quot}hint{quot}>при отправке телеграммы — вытащи из мешка ТРИ Камня и напиши прямо на бланке телеграммы число вытащенных Синих</span>;Laudetur Jesus Christus<br/>Полагаю, Святой Престол заинтересует эта реликвия: Раритет Артефакт<br/><span class={quot}hint{quot}>вычеркнуть лишнее</span>
4;;Oscar Fitzroy;;Poste restante;;Со своей стороны рассчитываю:<br/><span class={quot}hint{quot}>вычеркнуть лишнее и оставить один вариант</span><br/>на получение щедрой оплаты<br/>на получение своевременной оплаты и продолжение сотрудничества<br/>на нематериальную компенсацию следующего характера: ______________________________<br/>{3mm}{3mm}{3mm}{2mm}<span class={quot}hint{quot}>при отправке телеграммы — вытащи из мешка ТРИ Камня и покажи их почтмейстеру</span>;Полагаю, вас заинтересует эта реликвия: Раритет Артефакт Культурная ценность<br/><span class={quot}hint{quot}>вычеркнуть лишнее</span>
